일련번호,나이,학력,성별,정신건강,전문직,개발공부기간,연차,국적,연봉,보유기술개수
DEV386,<35,Undergraduate,Man,No,Dev,11,5,India,8376.0,14.0
DEV387,<35,Undergraduate,Man,No,Dev,15,8,United States of America,150000.0,5.0
DEV388,<35,Undergraduate,Man,No,Dev,16,8,India,36300.0,8.0
DEV389,<35,Master,Man,No,NotDev,13,3,Germany,40212.0,10.0
DEV390,<35,Other,Man,No,Dev,14,11,United Kingdom of Great Britain and Northern Ireland,77556.0,12.0
DEV391,>35,Other,Man,No,Dev,30,20,Canada,56723.0,14.0
DEV392,<35,Other,Man,No,Dev,6,5,Canada,75631.0,11.0
DEV393,<35,Master,Man,No,Dev,10,5,United States of America,103000.0,10.0
DEV394,<35,Master,Man,No,Dev,15,6,United States of America,95000.0,8.0
DEV395,<35,Master,Man,Yes,NotDev,4,2,United Kingdom of Great Britain and Northern Ireland,64630.0,12.0
DEV396,>35,PhD,Man,No,NotDev,6,2,Germany,108098.0,6.0
DEV397,<35,Undergraduate,Man,No,Dev,10,5,Canada,75631.0,14.0
DEV398,<35,Undergraduate,Man,No,Dev,15,13,Germany,84316.0,14.0
DEV399,<35,Undergraduate,Man,No,Dev,10,6,India,37000.0,20.0
DEV400,<35,Undergraduate,Man,No,Dev,14,12,United States of America,160000.0,10.0
DEV401,<35,Undergraduate,Man,Yes,Dev,11,5,Canada,86976.0,14.0
DEV402,>35,Master,Man,No,Dev,23,20,Germany,64859.0,14.0
DEV403,<35,Undergraduate,Man,No,Dev,6,4,India,33504.0,28.0
DEV404,>35,Undergraduate,Man,Yes,NotDev,35,8,United Kingdom of Great Britain and Northern Ireland,193889.0,16.0
DEV405,<35,Undergraduate,Man,No,Dev,7,2,United States of America,86000.0,5.0
DEV406,>35,PhD,Man,No,Dev,35,18,United States of America,193052.0,4.0
DEV407,>35,Other,Man,Yes,Dev,17,5,Canada,60505.0,22.0
DEV408,<35,Undergraduate,Man,No,Dev,4,4,United States of America,132000.0,11.0
DEV409,<35,Undergraduate,Man,No,Dev,13,8,Canada,73741.0,15.0
DEV410,<35,Undergraduate,Man,No,Dev,9,8,Germany,62697.0,11.0
DEV411,>35,Undergraduate,Man,No,Dev,24,16,United States of America,148000.0,12.0
DEV412,>35,Undergraduate,Man,No,Dev,20,20,United States of America,135000.0,18.0
DEV413,>35,NoHigherEd,Man,Yes,Dev,40,9,United Kingdom of Great Britain and Northern Ireland,51704.0,21.0
DEV414,<35,Undergraduate,Man,Yes,Dev,10,2,United States of America,179000.0,9.0
DEV415,>35,Master,Man,No,Dev,20,18,United Kingdom of Great Britain and Northern Ireland,210050.0,7.0
DEV416,>35,Master,Man,No,Dev,8,4,United States of America,130000.0,8.0
DEV417,<35,Undergraduate,Man,No,Dev,2,2,United States of America,70000.0,8.0
DEV418,>35,Undergraduate,Man,Yes,Dev,18,15,United States of America,141900.0,14.0
DEV419,<35,Master,Man,No,Dev,12,6,Germany,64860.0,7.0
DEV420,>35,Master,Man,Yes,Dev,30,24,Germany,129718.0,12.0
DEV421,>35,Master,Man,No,Dev,15,12,India,23735.0,10.0
DEV422,<35,Undergraduate,Man,No,Dev,6,4,Germany,62268.0,13.0
DEV423,>35,Undergraduate,Man,No,Dev,13,13,United States of America,135000.0,10.0
DEV424,<35,Undergraduate,Man,No,Dev,10,2,India,23735.0,10.0
DEV425,<35,Undergraduate,Man,No,Dev,5,2,India,18848.0,17.0
DEV426,>35,Master,Man,No,Dev,20,8,United States of America,72000.0,14.0
DEV427,<35,Undergraduate,Woman,No,Dev,16,10,Canada,56723.0,5.0
DEV428,<35,Undergraduate,Man,No,Dev,14,4,Germany,15564.0,10.0
DEV429,<35,NoHigherEd,Man,No,Dev,11,5,Germany,55776.0,18.0
DEV430,<35,Master,Man,No,NotDev,12,7,Germany,42036.0,6.0
DEV431,<35,Undergraduate,Man,No,Dev,18,9,United States of America,70000.0,11.0
DEV432,<35,Undergraduate,Man,Yes,Dev,18,10,United Kingdom of Great Britain and Northern Ireland,103408.0,21.0
DEV433,<35,Undergraduate,Man,No,Dev,13,4,United States of America,140000.0,6.0
DEV434,>35,Other,Man,No,NotDev,20,10,Canada,50673.0,12.0
DEV435,<35,Master,Man,No,Dev,5,5,United Kingdom of Great Britain and Northern Ireland,96945.0,13.0
DEV436,<35,Undergraduate,Man,No,Dev,18,10,Canada,121010.0,11.0
DEV437,<35,Master,Man,No,Dev,8,8,United Kingdom of Great Britain and Northern Ireland,77556.0,12.0
DEV438,<35,Other,Man,No,Dev,9,2,Canada,24200.0,22.0
DEV439,<35,Undergraduate,Man,No,Dev,8,4,India,27923.0,5.0
DEV440,>35,Undergraduate,Man,No,NotDev,39,26,United States of America,204700.0,15.0
DEV441,<35,Undergraduate,Man,Yes,NotDev,1,1,United States of America,61500.0,11.0
DEV442,<35,Master,Man,No,Dev,18,11,United Kingdom of Great Britain and Northern Ireland,64630.0,7.0
DEV443,<35,Undergraduate,Man,No,Dev,11,5,Canada,56723.0,7.0
DEV444,<35,Other,Man,No,Dev,15,13,United Kingdom of Great Britain and Northern Ireland,155111.0,20.0
