일련번호,나이,학력,성별,정신건강,전문직,개발공부기간,연차,국적,연봉,보유기술개수
DEV6285,<35,Undergraduate,Man,Yes,Dev,7,5,India,76789.0,16.0
DEV6286,>35,Master,Man,No,Dev,38,20,United Kingdom of Great Britain and Northern Ireland,89189.0,6.0
DEV6287,<35,Undergraduate,Man,No,Dev,10,5,United States of America,180000.0,10.0
DEV6288,>35,Master,Man,No,Dev,40,25,United States of America,140000.0,12.0
DEV6289,<35,Undergraduate,Woman,Yes,NotDev,7,7,United States of America,106000.0,6.0
DEV6290,<35,Undergraduate,Man,No,Dev,16,15,Canada,113447.0,15.0
DEV6291,<35,Undergraduate,Man,No,Dev,21,12,India,13404.0,24.0
DEV6292,<35,Master,Man,No,Dev,15,7,India,27574.0,9.0
DEV6293,<35,Other,Man,No,NotDev,8,7,India,36300.0,18.0
DEV6294,<35,NoHigherEd,Man,No,Dev,15,10,Canada,98321.0,13.0
DEV6295,<35,Undergraduate,Man,No,Dev,1,1,India,3852.0,6.0
DEV6296,>35,Master,Man,No,Dev,25,20,United States of America,180000.0,9.0
DEV6297,>35,Undergraduate,Man,Yes,Dev,15,10,Canada,99828.0,11.0
DEV6298,<35,Undergraduate,Woman,No,Dev,9,5,United States of America,130000.0,24.0
DEV6299,<35,Other,Man,No,Dev,6,3,Germany,38916.0,15.0
DEV6300,<35,Undergraduate,Man,Yes,Dev,18,10,United Kingdom of Great Britain and Northern Ireland,116333.0,18.0
DEV6301,<35,Other,Man,No,NotDev,10,8,Canada,90758.0,12.0
DEV6302,>35,Master,Man,Yes,Dev,17,11,United States of America,150000.0,16.0
DEV6303,<35,Master,Man,Yes,Dev,11,8,United States of America,162000.0,8.0
DEV6304,<35,Undergraduate,Woman,No,Dev,2,0,United States of America,65000.0,12.0
DEV6305,<35,Undergraduate,Man,No,Dev,6,0,United States of America,85000.0,14.0
DEV6306,>35,Undergraduate,Man,Yes,Dev,20,15,United States of America,113000.0,8.0
DEV6307,<35,Undergraduate,Man,Yes,Dev,20,12,United States of America,100000.0,20.0
DEV6308,>35,PhD,Man,No,Dev,45,40,United States of America,170000.0,5.0
DEV6309,>35,Undergraduate,Man,No,Dev,30,15,United States of America,100000.0,27.0
DEV6310,<35,Undergraduate,Man,No,Dev,5,4,Germany,57292.0,13.0
DEV6311,>35,Undergraduate,Man,No,Dev,40,25,United States of America,150000.0,6.0
DEV6312,>35,Master,Woman,No,Dev,20,15,United States of America,130000.0,19.0
DEV6313,>35,Undergraduate,Man,No,Dev,10,6,United States of America,160000.0,17.0
DEV6314,<35,Master,Man,Yes,Dev,10,3,United Kingdom of Great Britain and Northern Ireland,45241.0,17.0
DEV6315,>35,Master,Man,No,NotDev,20,10,Germany,25944.0,12.0
DEV6316,<35,Undergraduate,Man,No,Dev,11,8,United States of America,75000.0,10.0
DEV6317,<35,Master,Man,No,Dev,14,12,United States of America,138202.0,16.0
DEV6318,<35,Master,Man,No,Dev,7,5,United States of America,200000.0,28.0
DEV6319,<35,Undergraduate,Man,No,Dev,18,11,United States of America,118100.0,13.0
DEV6320,<35,Undergraduate,Man,No,Dev,13,6,Germany,92964.0,9.0
DEV6321,<35,Other,Woman,No,Dev,20,9,Germany,56211.0,41.0
DEV6322,>35,Master,Man,No,Dev,35,25,Germany,138366.0,9.0
DEV6323,>35,Master,Woman,No,Dev,20,10,Canada,41597.0,15.0
DEV6324,>35,Other,Man,Yes,Dev,20,14,United States of America,30000.0,12.0
DEV6325,<35,Undergraduate,Man,No,Dev,10,8,United States of America,130000.0,12.0
DEV6326,>35,Undergraduate,Man,No,Dev,29,29,United States of America,115000.0,17.0
DEV6327,<35,Undergraduate,Man,No,Dev,7,4,India,18150.0,6.0
DEV6328,<35,NoHigherEd,Man,Yes,NotDev,20,12,United Kingdom of Great Britain and Northern Ireland,129259.0,29.0
DEV6329,<35,Master,Man,No,Dev,8,6,United States of America,115000.0,12.0
DEV6330,>35,Master,Man,No,Dev,10,6,Canada,51429.0,54.0
DEV6331,<35,Undergraduate,NonBinary,No,Dev,7,4,United States of America,85000.0,11.0
DEV6332,<35,Master,Man,No,Dev,15,11,United Kingdom of Great Britain and Northern Ireland,122796.0,12.0
DEV6333,<35,Undergraduate,Man,No,Dev,9,6,India,13404.0,22.0
DEV6334,>35,Undergraduate,Woman,No,Dev,7,6,Germany,77831.0,13.0
DEV6335,<35,Undergraduate,Man,No,Dev,10,4,Germany,64859.0,21.0
DEV6336,>35,Master,Man,No,NotDev,15,15,United States of America,60000.0,6.0
DEV6337,>35,Master,Man,No,Dev,20,18,United States of America,134000.0,22.0
DEV6338,>35,Other,Man,No,NotDev,39,24,Germany,194577.0,22.0
DEV6339,>35,Undergraduate,Man,No,Dev,35,28,Germany,88632.0,22.0
DEV6340,<35,Master,Man,No,Dev,24,9,Germany,83236.0,11.0
DEV6341,<35,Undergraduate,Man,Yes,Dev,7,4,United Kingdom of Great Britain and Northern Ireland,42009.0,18.0
DEV6342,<35,Undergraduate,Man,No,NotDev,13,1,United States of America,70000.0,16.0
DEV6343,<35,Undergraduate,Man,No,Dev,19,17,India,50268.0,20.0
DEV6344,<35,Master,Man,No,Dev,7,7,United Kingdom of Great Britain and Northern Ireland,96945.0,24.0
DEV6345,<35,Undergraduate,Man,No,Dev,10,5,India,21948.0,10.0
DEV6346,<35,Undergraduate,Man,No,Dev,8,5,India,20943.0,7.0
DEV6347,>35,Master,Man,No,Dev,33,32,United States of America,135000.0,13.0
DEV6348,>35,Master,Woman,No,Dev,21,18,United States of America,113000.0,19.0
DEV6349,>35,Master,Man,No,Dev,15,10,United States of America,150000.0,14.0
DEV6350,<35,Undergraduate,Man,No,Dev,7,7,India,18150.0,17.0
DEV6351,>35,Other,Woman,No,Dev,35,20,United States of America,180000.0,20.0
DEV6352,>35,Undergraduate,Man,No,Dev,25,13,United States of America,75002.0,20.0
DEV6353,>35,Undergraduate,Man,No,Dev,26,22,United States of America,140000.0,15.0
DEV6354,>35,Master,Man,No,Dev,40,10,United States of America,160000.0,6.0
DEV6355,<35,Undergraduate,Man,No,Dev,8,8,India,11379.0,14.0
DEV6356,<35,Master,Man,No,Dev,5,6,India,5364.0,18.0
DEV6357,>35,Other,Man,No,Dev,25,25,United States of America,150000.0,12.0
DEV6358,<35,Undergraduate,Man,No,Dev,10,7,United States of America,160000.0,15.0
DEV6359,<35,Undergraduate,Man,No,Dev,14,6,United States of America,100000.0,11.0
DEV6360,>35,Other,Man,Yes,Dev,34,22,Canada,68068.0,10.0
DEV6361,>35,Other,Man,No,Dev,5,3,United States of America,100000.0,11.0
DEV6362,>35,Master,Man,No,Dev,25,25,United States of America,130000.0,32.0
DEV6363,<35,Undergraduate,Man,Yes,Dev,5,2,India,25128.0,19.0
DEV6364,<35,Master,Man,No,Dev,8,8,India,25131.0,6.0
DEV6365,>35,Other,Man,No,Dev,7,2,United States of America,56250.0,27.0
DEV6366,<35,Master,Man,No,Dev,14,8,United States of America,90000.0,7.0
DEV6367,<35,Undergraduate,Man,Yes,Dev,14,7,India,16754.0,13.0
DEV6368,<35,Undergraduate,Man,Yes,Dev,6,6,United Kingdom of Great Britain and Northern Ireland,54289.0,18.0
DEV6369,<35,Undergraduate,Man,No,Dev,7,3,India,6696.0,10.0
DEV6370,>35,Other,Man,No,Dev,24,22,United Kingdom of Great Britain and Northern Ireland,129250.0,14.0
DEV6371,<35,Master,Woman,No,Dev,9,2,Canada,43715.0,24.0
DEV6372,<35,Master,Man,Yes,Dev,2,2,United States of America,46000.0,13.0
DEV6373,>35,Other,Man,No,Dev,30,26,United States of America,100000.0,20.0
DEV6374,<35,Undergraduate,Man,No,Dev,12,4,United States of America,90000.0,6.0
DEV6375,>35,Undergraduate,Man,No,Dev,20,20,Canada,60505.0,15.0
DEV6376,<35,Undergraduate,Man,No,Dev,6,4,United Kingdom of Great Britain and Northern Ireland,45241.0,13.0
DEV6377,>35,Undergraduate,Man,No,Dev,23,20,United States of America,108000.0,13.0
DEV6378,<35,Undergraduate,Man,No,Dev,8,8,Canada,54455.0,19.0
DEV6379,>35,Master,Woman,Yes,Dev,2,1,Canada,39328.0,5.0
DEV6380,<35,Undergraduate,Man,No,Dev,10,4,United States of America,10000.0,17.0
DEV6381,<35,Undergraduate,Man,No,Dev,10,0,United States of America,40000.0,12.0
DEV6382,<35,Undergraduate,Man,Yes,NotDev,6,3,United States of America,120000.0,11.0
DEV6383,>35,Other,Man,Yes,Dev,40,35,United States of America,120000.0,17.0
DEV6384,>35,PhD,Man,No,NotDev,10,4,United Kingdom of Great Britain and Northern Ireland,34900.0,11.0
DEV6385,<35,Other,Man,No,Dev,12,10,United States of America,120000.0,14.0
DEV6386,<35,Undergraduate,Man,No,NotDev,9,3,India,22339.0,14.0
DEV6387,>35,Undergraduate,Man,No,Dev,31,22,United States of America,86000.0,9.0
DEV6388,<35,Undergraduate,Man,No,Dev,3,2,India,16752.0,13.0
DEV6389,<35,Undergraduate,Man,No,Dev,12,7,United States of America,110000.0,15.0
DEV6390,<35,Master,Man,No,Dev,11,5,India,7536.0,16.0
DEV6391,<35,Other,Man,No,Dev,3,2,United Kingdom of Great Britain and Northern Ireland,42656.0,7.0
DEV6392,<35,NoHigherEd,Man,Yes,NotDev,11,1,United States of America,25000.0,14.0
DEV6393,<35,Other,Man,Yes,Dev,5,2,United States of America,67500.0,10.0
DEV6394,<35,Undergraduate,Man,No,Dev,12,5,Canada,86976.0,10.0
DEV6395,<35,Master,Man,No,Dev,10,7,Canada,83194.0,15.0
DEV6396,<35,Master,Man,No,Dev,17,6,India,9773.0,19.0
DEV6397,<35,Undergraduate,Man,No,Dev,18,11,India,5585.0,14.0
DEV6398,<35,Undergraduate,NonBinary,No,Dev,14,12,United States of America,95000.0,15.0
DEV6399,>35,Undergraduate,Man,No,Dev,21,21,United States of America,190000.0,13.0
DEV6400,<35,Undergraduate,Man,No,Dev,8,5,United States of America,150000.0,14.0
DEV6401,>35,Master,Man,No,Dev,30,15,United States of America,130000.0,5.0
DEV6402,<35,Undergraduate,Man,No,Dev,1,0,United States of America,15000.0,14.0
DEV6403,>35,Master,Man,No,Dev,25,23,United States of America,168000.0,3.0
DEV6404,>35,Other,Man,No,Dev,21,15,United Kingdom of Great Britain and Northern Ireland,35546.0,21.0
DEV6405,>35,NoHigherEd,Man,No,Dev,23,20,United States of America,165000.0,18.0
DEV6406,<35,Undergraduate,Woman,Yes,Dev,6,4,India,11724.0,11.0
DEV6407,>35,PhD,Man,No,Dev,22,20,Germany,50592.0,18.0
DEV6408,>35,Master,Woman,No,Dev,40,30,United States of America,120000.0,10.0
DEV6409,<35,Undergraduate,NonBinary,No,Dev,5,5,United States of America,110000.0,15.0
DEV6410,<35,Undergraduate,Man,No,NotDev,7,6,United States of America,55000.0,6.0
DEV6411,>35,Undergraduate,Man,No,Dev,24,20,United States of America,100000.0,13.0
DEV6412,<35,Master,Man,No,Dev,16,5,Germany,57427.0,29.0
DEV6413,>35,NoHigherEd,Man,Yes,Dev,20,20,Canada,75631.0,22.0
DEV6414,<35,Undergraduate,Man,Yes,Dev,8,4,India,3852.0,13.0
DEV6415,<35,Undergraduate,Man,Yes,Dev,10,5,United States of America,200000.0,26.0
DEV6416,<35,Undergraduate,Man,No,Dev,8,2,India,11728.0,8.0
DEV6417,<35,Undergraduate,Man,Yes,Dev,11,3,United States of America,175000.0,13.0
DEV6418,<35,Undergraduate,Man,No,Dev,9,6,India,34904.0,10.0
DEV6419,<35,Master,Man,No,NotDev,15,5,United States of America,54600.0,15.0
DEV6420,<35,Master,Woman,No,Dev,12,6,United States of America,110000.0,12.0
DEV6421,<35,NoHigherEd,Man,Yes,Dev,8,4,United Kingdom of Great Britain and Northern Ireland,46533.0,25.0
DEV6422,>35,Other,Man,No,Dev,20,15,Canada,86976.0,12.0
DEV6423,>35,Other,Man,Yes,Dev,32,27,United States of America,150000.0,5.0
DEV6424,<35,Undergraduate,Man,No,Dev,12,8,United States of America,115000.0,22.0
DEV6425,>35,Undergraduate,Man,No,Dev,20,13,Germany,77831.0,20.0
DEV6426,>35,Other,Man,No,Dev,30,25,United States of America,60000.0,14.0
DEV6427,<35,Master,NonBinary,No,NotDev,15,4,Canada,22689.0,13.0
DEV6428,<35,Undergraduate,Man,No,Dev,10,5,United States of America,88695.0,13.0
DEV6429,>35,Undergraduate,Man,No,Dev,25,20,Canada,105884.0,17.0
DEV6430,>35,Undergraduate,Man,No,Dev,19,10,United Kingdom of Great Britain and Northern Ireland,64630.0,27.0
DEV6431,<35,Undergraduate,Man,Yes,Dev,12,5,United States of America,60000.0,28.0
DEV6432,>35,Master,Man,No,Dev,20,10,United States of America,115000.0,11.0
DEV6433,>35,Master,Man,No,Dev,41,36,United States of America,160000.0,15.0
DEV6434,>35,Undergraduate,Man,No,Dev,24,20,India,50000.0,22.0
DEV6435,<35,Undergraduate,Man,No,Dev,11,2,India,25365.0,21.0
DEV6436,<35,Undergraduate,Man,Yes,Dev,11,5,India,25131.0,11.0
DEV6437,>35,Master,Man,No,Dev,18,15,United States of America,125000.0,19.0
DEV6438,>35,Other,Man,No,Dev,26,24,United States of America,168000.0,18.0
DEV6439,<35,Undergraduate,Man,No,Dev,11,9,India,39093.0,20.0
DEV6440,>35,Undergraduate,Man,No,Dev,30,24,United States of America,99600.0,22.0
DEV6441,<35,Other,Man,No,Dev,7,7,United States of America,95000.0,14.0
DEV6442,<35,Undergraduate,Man,No,Dev,13,9,India,40629.0,16.0
DEV6443,<35,NoHigherEd,Man,No,NotDev,15,10,United States of America,150000.0,15.0
DEV6444,<35,Master,Man,Yes,Dev,16,9,Germany,102693.0,9.0
DEV6445,<35,Other,Man,Yes,Dev,7,5,United States of America,120000.0,18.0
DEV6446,<35,Undergraduate,Man,Yes,Dev,6,3,United States of America,63000.0,16.0
DEV6447,<35,Undergraduate,Man,Yes,Dev,10,5,United States of America,143000.0,15.0
DEV6448,<35,Undergraduate,Man,No,Dev,9,8,India,15912.0,10.0
DEV6449,>35,NoHigherEd,Man,Yes,Dev,20,17,United States of America,150000.0,19.0
DEV6450,>35,Other,Man,Yes,Dev,41,38,Germany,96207.0,28.0
DEV6451,<35,Master,Man,Yes,Dev,20,12,United States of America,51000.0,4.0
DEV6452,<35,Undergraduate,Man,No,Dev,13,9,India,1536.0,22.0
DEV6453,<35,Other,Man,Yes,Dev,15,13,United States of America,99000.0,11.0
DEV6454,<35,Master,Man,No,Dev,9,4,United States of America,60000.0,14.0
DEV6455,<35,Other,Man,Yes,Dev,11,7,United States of America,120000.0,27.0
DEV6456,<35,PhD,Man,No,NotDev,5,3,United States of America,90000.0,7.0
DEV6457,>35,Master,Man,No,Dev,34,20,United States of America,106016.0,14.0
DEV6458,>35,Undergraduate,Woman,Yes,Dev,36,20,United States of America,145000.0,28.0
DEV6459,<35,Undergraduate,Woman,Yes,Dev,6,4,United States of America,80000.0,24.0
DEV6460,<35,Master,Man,No,Dev,9,7,United States of America,200000.0,7.0
DEV6461,<35,Master,Man,No,Dev,9,3,United States of America,116000.0,27.0
DEV6462,<35,Undergraduate,Man,Yes,Dev,16,9,United States of America,160000.0,13.0
DEV6463,>35,Undergraduate,Man,No,Dev,22,15,United States of America,150000.0,24.0
DEV6464,<35,Undergraduate,Man,No,Dev,14,8,United Kingdom of Great Britain and Northern Ireland,73678.0,13.0
DEV6465,>35,Undergraduate,Man,No,Dev,4,4,United States of America,105000.0,16.0
DEV6466,<35,Master,Man,No,Dev,5,5,India,16416.0,10.0
DEV6467,<35,Undergraduate,Man,Yes,Dev,5,1,United States of America,50000.0,11.0
DEV6468,>35,Undergraduate,Man,Yes,Dev,15,10,United States of America,120000.0,6.0
DEV6469,>35,Other,Man,Yes,Dev,38,22,Germany,59676.0,12.0
DEV6470,<35,Undergraduate,Man,No,Dev,10,8,United States of America,99500.0,8.0
DEV6471,>35,Undergraduate,Man,No,Dev,10,3,Germany,60972.0,11.0
DEV6472,<35,Undergraduate,Man,No,Dev,7,4,United States of America,86000.0,25.0
DEV6473,<35,Master,Man,No,Dev,16,10,India,16754.0,19.0
DEV6474,>35,Undergraduate,Man,No,Dev,19,19,United States of America,200000.0,18.0
DEV6475,>35,PhD,Man,No,Dev,50,40,Canada,60505.0,4.0
DEV6476,<35,Undergraduate,Man,No,Dev,15,8,United States of America,140000.0,11.0
DEV6477,<35,Undergraduate,Man,No,Dev,15,13,Germany,86478.0,11.0
DEV6478,<35,Undergraduate,Man,Yes,Dev,7,1,Germany,5832.0,9.0
DEV6479,>35,PhD,Man,Yes,Dev,40,25,Canada,64287.0,14.0
DEV6480,>35,Undergraduate,Man,No,Dev,24,14,United States of America,108893.0,9.0
DEV6481,>35,Undergraduate,Man,No,Dev,20,16,United States of America,202000.0,11.0
DEV6482,<35,Undergraduate,Man,No,Dev,15,8,India,55872.0,16.0
DEV6483,<35,Other,Man,No,Dev,4,2,Canada,43866.0,17.0
DEV6484,<35,Undergraduate,Woman,Yes,Dev,8,4,India,10471.0,11.0
DEV6485,<35,Undergraduate,Man,No,Dev,12,6,India,58639.0,20.0
DEV6486,<35,Undergraduate,Man,No,Dev,15,7,Canada,71850.0,38.0
DEV6487,<35,Other,Man,Yes,Dev,8,0,United States of America,38000.0,12.0
DEV6488,<35,Master,Man,No,Dev,15,12,United Kingdom of Great Britain and Northern Ireland,77556.0,7.0
DEV6489,<35,Undergraduate,Man,No,Dev,8,2,India,1344.0,11.0
DEV6490,<35,Other,Man,No,NotDev,15,7,United States of America,100000.0,20.0
DEV6491,<35,Undergraduate,Woman,Yes,Dev,13,3,Germany,51888.0,14.0
DEV6492,>35,Undergraduate,Man,No,Dev,15,11,Germany,86478.0,14.0
DEV6493,<35,Undergraduate,Man,Yes,Dev,16,7,United States of America,150000.0,16.0
DEV6494,<35,Undergraduate,NonBinary,Yes,Dev,3,2,United States of America,114500.0,4.0
DEV6495,>35,Master,Man,No,Dev,10,15,United States of America,100000.0,14.0
DEV6496,>35,Undergraduate,Man,No,Dev,18,17,Japan,89929.0,20.0
DEV6497,<35,Undergraduate,Man,No,Dev,10,3,United States of America,67500.0,25.0
DEV6498,<35,Undergraduate,Man,No,Dev,14,10,India,27923.0,9.0
DEV6499,>35,Undergraduate,Man,No,Dev,16,11,India,51658.0,18.0
DEV6500,<35,Undergraduate,Man,Yes,Dev,6,4,United States of America,130000.0,20.0
DEV6501,<35,Undergraduate,Man,Yes,Dev,12,1,United States of America,45000.0,11.0
DEV6502,<35,NoHigherEd,Man,Yes,Dev,10,6,India,46908.0,21.0
DEV6503,<35,Undergraduate,Man,No,Dev,11,7,India,22339.0,28.0
DEV6504,<35,Other,Man,No,Dev,10,9,United States of America,137000.0,27.0
DEV6505,>35,Undergraduate,Man,No,Dev,30,26,United States of America,160000.0,12.0
DEV6506,<35,Undergraduate,Man,No,Dev,4,4,United States of America,150000.0,27.0
DEV6507,<35,Undergraduate,Man,No,Dev,6,4,India,6283.0,11.0
DEV6508,>35,Master,Man,No,Dev,12,10,India,25128.0,8.0
DEV6509,<35,Undergraduate,Man,No,Dev,15,10,Canada,102102.0,19.0
DEV6510,>35,Other,Man,No,Dev,30,17,Germany,64859.0,40.0
DEV6511,>35,Undergraduate,Man,Yes,Dev,21,15,United States of America,150000.0,34.0
DEV6512,>35,Undergraduate,Man,No,Dev,21,12,Canada,92270.0,8.0
DEV6513,<35,Master,Man,No,Dev,10,6,Canada,75631.0,10.0
DEV6514,<35,Undergraduate,Man,No,Dev,10,7,United States of America,200000.0,22.0
DEV6515,<35,Undergraduate,Man,No,Dev,5,1,United States of America,70000.0,13.0
DEV6516,>35,Master,Man,No,Dev,14,12,Germany,103774.0,33.0
DEV6517,<35,Undergraduate,Man,No,NotDev,24,9,United States of America,108000.0,15.0
DEV6518,>35,Other,Man,Yes,NotDev,32,22,United States of America,196000.0,11.0
DEV6519,<35,Undergraduate,Man,Yes,Dev,8,3,Canada,60505.0,10.0
DEV6520,>35,Undergraduate,Man,Yes,Dev,30,22,United States of America,200000.0,4.0
DEV6521,<35,Master,Man,No,Dev,10,5,United States of America,106000.0,8.0
DEV6522,<35,Undergraduate,Man,No,Dev,13,12,United States of America,115000.0,11.0
DEV6523,<35,Other,Man,No,Dev,3,2,United States of America,72000.0,6.0
DEV6524,<35,Undergraduate,Man,Yes,Dev,8,6,United States of America,60000.0,13.0
DEV6525,<35,PhD,Man,No,Dev,10,5,United States of America,150000.0,10.0
DEV6526,<35,Undergraduate,Man,No,Dev,11,3,Canada,75631.0,4.0
DEV6527,>35,Undergraduate,Man,No,Dev,50,43,United States of America,120000.0,8.0
DEV6528,>35,Master,Man,Yes,Dev,5,5,United Kingdom of Great Britain and Northern Ireland,84019.0,12.0
DEV6529,<35,Undergraduate,Man,Yes,Dev,2,0,United States of America,55000.0,13.0
DEV6530,>35,Undergraduate,Man,No,Dev,50,34,Canada,15126.0,16.0
DEV6531,<35,Undergraduate,Man,No,Dev,11,9,United States of America,210000.0,7.0
DEV6532,<35,Master,Man,No,Dev,10,5,India,20244.0,13.0
DEV6533,<35,Undergraduate,NonBinary,No,Dev,8,4,United States of America,72500.0,12.0
DEV6534,<35,Undergraduate,Man,No,Dev,7,3,India,15358.0,10.0
DEV6535,<35,Undergraduate,Man,No,Dev,10,4,United States of America,77000.0,13.0
DEV6536,>35,Master,Man,No,Dev,30,14,Germany,64859.0,15.0
DEV6537,>35,Master,Man,Yes,Dev,24,19,United States of America,97400.0,10.0
DEV6538,>35,Undergraduate,Man,No,Dev,20,18,United States of America,115000.0,21.0
DEV6539,>35,Undergraduate,Man,No,Dev,20,15,United States of America,170000.0,9.0
DEV6540,>35,PhD,Man,No,NotDev,30,22,Germany,216196.0,7.0
DEV6541,>35,Undergraduate,Man,Yes,NotDev,10,4,United Kingdom of Great Britain and Northern Ireland,122796.0,9.0
DEV6542,>35,NoHigherEd,Man,No,Dev,34,22,Germany,54480.0,21.0
DEV6543,<35,Undergraduate,Man,No,Dev,10,5,United States of America,86000.0,13.0
DEV6544,<35,Undergraduate,Man,No,Dev,6,1,United States of America,92000.0,10.0
DEV6545,<35,Master,NonBinary,No,Dev,10,3,India,16754.0,11.0
DEV6546,<35,Master,Man,No,Dev,16,12,India,30716.0,11.0
DEV6547,>35,Undergraduate,Man,No,Dev,25,20,United States of America,180000.0,11.0
DEV6548,<35,Undergraduate,Man,No,Dev,7,3,India,27923.0,13.0
DEV6549,>35,Undergraduate,Man,No,Dev,41,37,United States of America,209000.0,9.0
DEV6550,<35,Undergraduate,Man,No,Dev,2,2,India,4887.0,12.0
DEV6551,<35,Undergraduate,Man,No,Dev,11,6,United States of America,140000.0,21.0
DEV6552,>35,Undergraduate,Man,No,Dev,20,10,United States of America,115000.0,19.0
DEV6553,<35,Undergraduate,Man,No,Dev,15,11,Canada,88489.0,16.0
DEV6554,<35,Other,Man,No,Dev,8,8,Germany,54049.0,8.0
DEV6555,<35,Undergraduate,Man,No,Dev,5,5,India,13962.0,3.0
DEV6556,>35,Undergraduate,Man,Yes,Dev,15,15,United States of America,148000.0,13.0
DEV6557,<35,Undergraduate,Woman,No,Dev,8,3,India,20384.0,9.0
DEV6558,<35,Undergraduate,Man,No,Dev,10,3,United Kingdom of Great Britain and Northern Ireland,82080.0,12.0
DEV6559,>35,Other,Man,Yes,Dev,10,9,United States of America,68000.0,11.0
DEV6560,<35,Undergraduate,Man,No,Dev,16,10,United States of America,140000.0,12.0
DEV6561,<35,Undergraduate,Man,Yes,Dev,11,6,India,44678.0,9.0
DEV6562,<35,NoHigherEd,Man,No,Dev,9,1,United Kingdom of Great Britain and Northern Ireland,16157.0,15.0
DEV6563,<35,Undergraduate,Man,Yes,Dev,7,4,Canada,98321.0,10.0
DEV6564,<35,Undergraduate,Man,No,Dev,14,8,United States of America,135000.0,15.0
DEV6565,<35,Other,Man,No,Dev,16,14,Germany,97288.0,11.0
DEV6566,>35,Undergraduate,Man,No,Dev,12,7,United States of America,185000.0,24.0
DEV6567,<35,Undergraduate,Woman,Yes,Dev,13,2,Germany,41077.0,14.0
DEV6568,>35,Other,Man,No,Dev,17,14,Germany,150000.0,14.0
DEV6569,>35,Undergraduate,Man,Yes,Dev,18,12,United States of America,160000.0,7.0
DEV6570,<35,Undergraduate,Man,Yes,Dev,15,10,India,30000.0,22.0
DEV6571,<35,Undergraduate,Man,No,Dev,2,7,India,27227.0,19.0
DEV6572,<35,Undergraduate,Man,No,Dev,16,11,United States of America,82000.0,16.0
DEV6573,<35,Master,Man,No,Dev,11,5,United States of America,162000.0,3.0
DEV6574,<35,Undergraduate,Man,No,Dev,6,2,United States of America,75000.0,17.0
DEV6575,<35,Undergraduate,Man,No,Dev,5,3,United States of America,135000.0,20.0
DEV6576,>35,Undergraduate,Man,No,Dev,38,37,United Kingdom of Great Britain and Northern Ireland,77556.0,10.0
DEV6577,<35,Master,Man,No,Dev,8,5,United States of America,110000.0,17.0
DEV6578,<35,Undergraduate,Man,No,Dev,18,10,United States of America,75000.0,15.0
DEV6579,>35,Undergraduate,Man,No,Dev,25,13,Canada,47648.0,32.0
DEV6580,>35,Undergraduate,Man,No,Dev,19,13,United States of America,200000.0,16.0
DEV6581,>35,Master,Man,No,Dev,9,5,United States of America,96000.0,6.0
DEV6582,>35,Undergraduate,Man,Yes,Dev,25,5,United States of America,98000.0,13.0
DEV6583,<35,Undergraduate,Man,Yes,Dev,14,10,United States of America,120000.0,13.0
DEV6584,>35,Undergraduate,Man,Yes,Dev,18,16,United States of America,140000.0,17.0
DEV6585,<35,Undergraduate,Man,Yes,Dev,7,6,United States of America,125000.0,11.0
DEV6586,<35,Undergraduate,Man,No,Dev,10,6,India,16752.0,16.0
DEV6587,>35,Undergraduate,Man,No,Dev,25,16,United States of America,90000.0,11.0
DEV6588,<35,Other,Man,No,Dev,8,2,United States of America,40000.0,16.0
DEV6589,<35,Undergraduate,Man,No,Dev,11,6,India,34904.0,21.0
DEV6590,<35,Master,Man,No,Dev,11,3,United States of America,150000.0,19.0
DEV6591,<35,Undergraduate,Man,No,Dev,14,10,United States of America,105000.0,29.0
DEV6592,>35,Other,Man,No,Dev,10,10,United Kingdom of Great Britain and Northern Ireland,64630.0,13.0
DEV6593,<35,NoHigherEd,Man,Yes,Dev,15,10,Germany,51887.0,16.0
DEV6594,<35,Undergraduate,Man,No,Dev,13,10,Canada,75631.0,14.0
DEV6595,>35,Undergraduate,Man,No,Dev,22,18,United States of America,85000.0,28.0
DEV6596,<35,Master,Man,No,Dev,10,8,United States of America,200000.0,7.0
DEV6597,<35,Other,Man,No,Dev,5,1,Canada,30250.0,9.0
DEV6598,>35,Master,Man,Yes,NotDev,20,8,Germany,75669.0,5.0
DEV6599,<35,Undergraduate,Man,No,Dev,12,8,United States of America,130000.0,16.0
DEV6600,>35,Master,Man,Yes,Dev,40,23,United States of America,105000.0,12.0
DEV6601,<35,Master,Man,No,Dev,5,2,India,3684.0,9.0
DEV6602,>35,Other,Man,Yes,Dev,35,24,United States of America,90000.0,18.0
DEV6603,>35,Undergraduate,Man,No,Dev,36,33,United States of America,146000.0,7.0
DEV6604,>35,Master,Man,No,Dev,30,20,United States of America,210000.0,17.0
DEV6605,<35,Undergraduate,Man,No,Dev,4,2,United States of America,90000.0,16.0
DEV6606,<35,Master,Man,No,Dev,8,2,Germany,58373.0,13.0
DEV6607,>35,Other,Man,Yes,NotDev,38,22,Canada,98321.0,16.0
DEV6608,<35,Undergraduate,Man,Yes,Dev,15,12,United States of America,142000.0,11.0
DEV6609,<35,PhD,Man,No,Dev,20,3,United Kingdom of Great Britain and Northern Ireland,54289.0,27.0
DEV6610,>35,Undergraduate,Man,Yes,Dev,23,7,Germany,48288.0,13.0
DEV6611,>35,Undergraduate,Man,No,Dev,25,25,United States of America,222000.0,14.0
